,Country,1995-1999 A university education is more important for a boy than for a girl,2000-2004 A university education is more important for a boy than for a girl,2005-2009 A university education is more important for a boy than for a girl,2010-2014 A university education is more important for a boy than for a girl,1995-1999 Are you religious,2000-2004 Are you religious,2005-2009 Are you religious,2010-2014 Are you religious,1995-1999 Feeling of happiness,2005-2009 Feeling of happiness,2010-2014 Feeling of happiness,1995-1999 Men make better political leaders than women do,2000-2004 Men make better political leaders than women do,2005-2009 Men make better political leaders than women do,2010-2014 Men make better political leaders than women do,1995-1999 State of health,2000-2004 State of health,2005-2009 State of health,2010-2014 State of health,1995-1999 Approve woman as a single parent,2000-2004 Approve woman as a single parent,2005-2009 Approve woman as a single parent,1995-1999 Importance of family,2000-2004 Importance of family,2005-2009 Importance of family,2010-2014 Importance of family,1995-1999 Importance of friends,2000-2004 Importance of friends,2005-2009 Importance of friends,2010-2014 Importance of friends,ISO3
0,Albania,1826.0,1528.0,,,2604.0,3912.0,,,2448.0,,,3126.0,2812.0,,,3960.0,3918.0,,,3264.0,1458.0,,5882.0,5894.0,,,3996.0,4258.0,,,ALB
1,Azerbaijan,2556.0,,,2540.0,5022.0,,,1602.0,3688.0,,4104.0,3764.0,,,3832.0,3320.0,,,3508.0,1854.0,,,5638.0,,,5856.0,4524.0,,,4326.0,AZE
2,Argentina,1880.0,1720.0,1604.0,1648.0,4752.0,4854.0,4686.0,4068.0,4138.0,4350.0,4354.0,2304.0,2184.0,2142.0,2094.0,3406.0,3644.0,4184.0,3964.0,3963.0,3801.0,3927.0,5706.0,5768.0,5798.0,5750.0,4606.0,4516.0,4836.0,4788.0,ARG
3,Australia,1726.0,,1420.0,1150.0,3468.0,,3084.0,2478.0,4716.0,4510.0,4526.0,2106.0,,2180.0,2012.0,4224.0,,3910.0,4114.0,2481.0,,2322.0,5760.0,,5826.0,5806.0,5148.0,,4998.0,4906.0,AUS
4,Bangladesh,2714.0,3572.0,,,4878.0,5322.0,,,4016.0,,,3078.0,3630.0,,,2944.0,3298.0,,,,309.0,,5862.0,5934.0,,,3722.0,4204.0,,,BGD
5,Armenia,2722.0,,,2004.0,3995.9999999999995,,,5310.0,2996.0,,4144.0,4136.0,,,3478.0,2980.0,,,2630.0,2487.0,,,5664.0,,,5908.0,4684.0,,,4554.0,ARM
6,Brazil,1480.0,,1724.0,1590.0,5106.0,,5232.0,4782.0,4054.0,4472.0,4528.0,2784.0,,2432.0,2286.0,3872.0,,3990.0,3842.0,3198.0,,3174.0,5834.0,,5712.0,5716.0,4866.0,,4450.0,4282.0,BRA
7,Bulgaria,1698.0,,1470.0,,2874.0,,3426.0,,3054.0,3122.0,,3040.0,,2776.0,,3212.0,,3120.0,,3360.0,,3105.0,5700.0,,5744.0,,4474.0,,4498.0,,BGR
8,Belarus,2646.0,,,1876.0,3522.0,,,3732.0,2736.0,,3306.0,3654.0,,,3684.0,2126.0,,,2464.0,3531.0,,,5596.0,,,5712.0,4182.0,,,4490.0,BLR
9,Chile,1828.0,2184.0,2360.0,1712.0,4356.0,4128.0,3804.0,3018.0,4112.0,4162.0,4156.0,2624.0,2510.0,2842.0,1990.0,3392.0,3682.0,3418.0,3764.0,4143.0,4488.0,4563.0,5706.0,5906.0,5772.0,5806.0,3708.0,3810.0,3436.0,4210.0,CHL
