,Country,1995-1999 A university education is more important for a boy than for a girl,2000-2004 A university education is more important for a boy than for a girl,2005-2009 A university education is more important for a boy than for a girl,2010-2014 A university education is more important for a boy than for a girl,1995-1999 Are you religious,2000-2004 Are you religious,2005-2009 Are you religious,2010-2014 Are you religious,1995-1999 Feeling of happiness,2005-2009 Feeling of happiness,2010-2014 Feeling of happiness,1995-1999 Men make better political leaders than women do,2000-2004 Men make better political leaders than women do,2005-2009 Men make better political leaders than women do,2010-2014 Men make better political leaders than women do,1995-1999 State of health,2000-2004 State of health,2005-2009 State of health,2010-2014 State of health,1995-1999 Approve woman as a single parent,2000-2004 Approve woman as a single parent,2005-2009 Approve woman as a single parent,1995-1999 Importance of family,2000-2004 Importance of family,2005-2009 Importance of family,2010-2014 Importance of family,1995-1999 Importance of friends,2000-2004 Importance of friends,2005-2009 Importance of friends,2010-2014 Importance of friends,iso3
0,Albania,30.433333333333334,25.466666666666665,,,43.4,65.2,,,40.8,,,52.1,46.86666666666667,,,66.0,65.3,,,54.4,24.3,,98.03333333333333,98.23333333333333,,,66.6,70.96666666666667,,,ALB
1,Azerbaijan,42.6,,,42.333333333333336,83.7,,,26.7,61.46666666666667,,68.4,62.733333333333334,,,63.86666666666667,55.333333333333336,,,58.46666666666667,30.9,,,93.96666666666667,,,97.6,75.4,,,72.1,AZE
2,Argentina,31.333333333333332,28.666666666666668,26.733333333333334,27.466666666666665,79.2,80.9,78.1,67.8,68.96666666666667,72.5,72.56666666666666,38.4,36.4,35.7,34.9,56.766666666666666,60.733333333333334,69.73333333333333,66.06666666666666,66.05,63.35,65.45,95.1,96.13333333333334,96.63333333333334,95.83333333333333,76.76666666666667,75.26666666666667,80.6,79.8,ARG
3,Australia,28.766666666666666,,23.666666666666668,19.166666666666668,57.8,,51.4,41.3,78.6,75.16666666666667,75.43333333333334,35.1,,36.333333333333336,33.53333333333333,70.4,,65.16666666666667,68.56666666666666,41.35,,38.7,96.0,,97.1,96.76666666666667,85.8,,83.3,81.76666666666667,AUS
4,Bangladesh,45.233333333333334,59.53333333333333,,,81.3,88.7,,,66.93333333333334,,,51.3,60.5,,,49.06666666666667,54.96666666666667,,,,5.15,,97.7,98.9,,,62.03333333333333,70.06666666666666,,,BGD
5,Armenia,45.36666666666667,,,33.4,66.6,,,88.5,49.93333333333333,,69.06666666666666,68.93333333333334,,,57.96666666666667,49.666666666666664,,,43.833333333333336,41.45,,,94.4,,,98.46666666666667,78.06666666666666,,,75.9,ARM
6,Brazil,24.666666666666668,,28.733333333333334,26.5,85.1,,87.2,79.7,67.56666666666666,74.53333333333333,75.46666666666667,46.4,,40.53333333333333,38.1,64.53333333333333,,66.5,64.03333333333333,53.3,,52.9,97.23333333333333,,95.2,95.26666666666667,81.1,,74.16666666666667,71.36666666666666,BRA
7,Bulgaria,28.3,,24.5,,47.9,,57.1,,50.9,52.03333333333333,,50.666666666666664,,46.266666666666666,,53.53333333333333,,52.0,,56.0,,51.75,95.0,,95.73333333333333,,74.56666666666666,,74.96666666666667,,BGR
8,Belarus,44.1,,,31.266666666666666,58.7,,,62.2,45.6,,55.1,60.9,,,61.4,35.43333333333333,,,41.06666666666667,58.85,,,93.26666666666667,,,95.2,69.7,,,74.83333333333333,BLR
9,Chile,30.466666666666665,36.4,39.333333333333336,28.533333333333335,72.6,68.8,63.4,50.3,68.53333333333333,69.36666666666666,69.26666666666667,43.733333333333334,41.833333333333336,47.36666666666667,33.166666666666664,56.53333333333333,61.36666666666667,56.96666666666667,62.733333333333334,69.05,74.8,76.05,95.1,98.43333333333334,96.2,96.76666666666667,61.8,63.5,57.266666666666666,70.16666666666667,CHL
10,China,35.43333333333333,29.766666666666666,34.733333333333334,34.8,,13.7,23.0,12.5,68.0,63.8,66.0,48.8,47.43333333333333,46.0,47.266666666666666,65.9,59.4,61.96666666666667,61.9,10.85,2.95,9.45,91.56666666666666,85.23333333333333,91.43333333333334,94.4,70.2,65.93333333333334,69.6,78.43333333333334,CHN
11,Taiwan,37.93333333333333,,33.96666666666667,30.9,72.2,,40.2,43.6,72.73333333333333,67.9,71.2,48.13333333333333,,48.266666666666666,36.96666666666667,52.6,,68.0,70.26666666666667,16.6,,23.7,91.73333333333333,,96.9,96.36666666666666,71.83333333333333,,77.16666666666667,77.53333333333333,
12,Colombia,29.5,,29.6,26.0,84.6,,79.9,82.5,76.8,78.16666666666667,82.46666666666667,41.56666666666667,,41.233333333333334,35.2,66.36666666666666,,64.06666666666666,66.76666666666667,73.5,,69.5,95.13333333333334,,,94.8,72.66666666666667,,,66.23333333333333,COL
